batter_id,pitcher_id,ab,h,hr,rbi,k,bb,avg,ops
808982,677944,4,0,0,0,0,1,.000,.333
808982,672282,2,1,0,0,0,0,.500,1.000
808982,650633,6,1,0,1,0,3,.167,.611
808982,669467,4,1,0,0,0,0,.250,.500
808982,656605,1,0,0,0,1,1,.000,.500
808982,656492,3,1,0,0,1,0,.333,.666
808982,688107,2,1,0,0,1,0,.500,1.000
808982,663969,1,0,0,0,0,0,.000,.000
808982,663903,3,2,0,0,0,0,.667,1.667
650333,686613,4,0,0,0,1,0,.000,.000
650333,663372,10,3,0,1,0,0,.300,.700
650333,673540,8,4,0,0,0,1,.500,1.056
650333,680736,3,1,0,0,0,0,.333,.666
650333,666200,7,2,0,0,1,1,.286,.804
650333,663436,8,3,0,2,1,2,.375,1.000
650333,663969,3,1,0,1,0,0,.333,1.000
808982,605288,5,1,0,0,0,0,.200,.400
650333,650633,1,1,1,2,0,0,1.000,5.000
650333,656550,4,0,0,0,0,0,.000,.000
650333,672282,7,4,0,0,0,2,.571,1.238
650333,669467,8,4,0,0,0,0,.500,1.125
650333,543037,10,4,1,2,1,1,.400,1.155
650333,518876,20,7,1,3,0,1,.350,1.181
650333,677944,6,2,0,0,0,0,.333,.666
650333,677958,1,1,0,0,0,1,1.000,2.000
650333,805673,4,1,0,1,0,0,.250,.583
650333,664285,6,1,1,1,1,1,.167,.953
650333,688107,3,0,0,0,1,0,.000,.000
656305,663372,10,5,1,2,2,0,.500,1.500
650333,665795,8,4,0,1,0,0,.500,1.250
650333,656492,5,2,0,1,0,0,.400,.800
650333,663903,22,10,0,1,2,0,.455,.978
650333,669302,9,1,1,1,0,0,.111,.555
650333,605288,10,4,0,1,2,1,.400,.955
650333,656605,15,6,0,3,1,0,.400,1.000
650333,608379,16,6,2,5,2,0,.375,1.125
656305,673540,6,4,2,4,1,4,.667,2.800
650333,656876,4,1,0,1,0,1,.250,.650
656305,666200,8,2,0,0,3,1,.250,.708
656305,656550,4,0,0,0,2,0,.000,.000
656305,680736,2,1,0,1,1,0,.500,1.000
656305,543037,39,6,1,2,17,2,.154,.547
656305,665795,8,3,1,4,3,2,.375,1.250
656305,677944,2,0,0,0,1,0,.000,.000
656305,688107,2,0,0,0,0,0,.000,.000
656305,663436,5,2,0,0,0,1,.400,1.100
656305,518876,14,4,0,0,2,1,.286,.762
656305,663969,2,0,0,0,0,1,.000,.333
656305,672282,6,2,1,4,1,4,.333,1.433
656305,650633,22,3,0,1,5,0,.136,.266
656305,669467,11,6,0,3,4,0,.545,1.356
656305,664285,18,4,0,3,4,2,.222,.578
656305,656605,2,1,0,1,1,0,.500,2.000
656305,656492,3,2,1,1,0,0,.667,2.334
656305,663903,13,7,2,3,1,0,.538,1.769
646240,656550,5,2,0,0,2,1,.400,1.100
646240,663372,2,0,0,0,0,0,.000,.000
656305,656876,12,1,0,1,3,2,.083,.283
646240,673540,11,2,0,1,3,3,.182,.630
646240,666200,8,1,0,0,2,1,.125,.347
656305,669302,9,1,0,1,4,1,.111,.384
656305,608379,6,1,0,2,2,1,.167,.619
646240,680736,4,0,0,0,2,0,.000,.000
656305,605288,11,2,0,4,4,0,.182,.455
646240,663436,8,1,0,0,4,1,.125,.347
646240,518876,18,4,1,6,3,0,.222,.722
646240,663903,14,4,1,2,4,0,.286,.857
646240,688107,3,0,0,0,1,0,.000,.000
646240,663969,2,0,0,0,0,0,.000,.000
646240,665795,5,1,0,0,1,1,.200,.533
646240,650633,11,5,2,4,3,4,.455,1.600
646240,664285,10,2,0,1,2,0,.200,.473
646240,543037,40,14,8,20,15,5,.350,1.410
646240,669467,10,2,1,1,3,1,.200,.833
646240,672282,10,1,0,0,1,0,.100,.200
646240,677944,3,1,0,1,2,0,.333,1.000
646240,656605,5,0,0,0,3,2,.000,.286
646240,608379,9,0,0,0,4,1,.000,.100
646240,656492,3,0,0,0,1,0,.000,.000
646240,656876,10,4,1,2,1,1,.400,1.255
646240,669302,10,1,0,0,3,1,.100,.382
646240,605288,5,1,0,0,2,0,.200,.400
682674,688107,2,1,1,1,1,0,.500,2.500
682674,656492,2,0,0,0,1,0,.000,.000
642715,663436,3,1,0,1,1,0,.333,.666
642715,666200,16,3,0,1,4,0,.188,.501
642715,672282,4,1,0,1,2,0,.250,.500
642715,673540,10,1,0,0,4,1,.100,.282
642715,680736,6,1,0,0,3,0,.167,.500
642715,663372,14,1,0,0,4,1,.071,.204
642715,686613,2,0,0,0,0,0,.000,.000
642715,543037,26,4,0,0,15,2,.154,.445
642715,656550,2,1,0,0,0,0,.500,1.000
642715,663969,2,1,0,0,0,0,.500,1.000
642715,669467,11,4,1,4,1,1,.364,1.098
642715,663903,6,3,1,1,1,0,.500,1.500
642715,518876,30,9,2,3,12,2,.300,.877
642715,650633,12,4,0,1,2,3,.333,.967
642715,677944,2,1,0,0,0,1,.500,1.167
642715,665795,8,2,1,2,4,5,.250,1.163
642715,688107,2,0,0,0,1,0,.000,.000
642715,664285,2,0,0,0,2,1,.000,.333
642715,605288,5,0,0,0,3,0,.000,.000
702284,680736,1,0,0,0,0,0,.000,.000
702284,687064,3,1,0,0,0,0,.333,.666
642715,669302,5,3,2,3,0,1,.600,2.667
642715,608379,8,3,0,1,1,0,.375,.875
702284,663436,4,2,0,0,0,0,.500,1.000
702284,672282,2,0,0,0,1,0,.000,.000
702284,666200,2,0,0,0,1,0,.000,.000
642715,656605,28,8,1,5,7,1,.286,.774
702284,677958,3,1,1,1,0,0,.333,1.833
702284,678022,4,0,0,0,2,0,.000,.000
702284,669467,2,1,0,1,1,0,.500,1.000
702284,650633,2,0,0,0,1,0,.000,.000
702284,518876,7,2,1,1,1,0,.286,1.000
702284,677944,1,1,0,0,0,1,1.000,2.000
702284,664285,2,0,0,0,0,0,.000,.000
702284,656876,4,0,0,0,1,0,.000,.000
702284,608379,2,1,0,0,0,0,.500,1.000
806068,678022,2,0,0,0,0,0,.000,.000
806068,518876,3,1,0,0,1,0,.333,.666
806068,664285,2,0,0,0,2,0,.000,.000
686527,673540,3,0,0,0,0,0,.000,.000
686527,678022,3,0,0,0,2,0,.000,.000
686527,680736,1,0,0,0,1,0,.000,.000
686527,663436,4,1,1,1,1,0,.250,1.250
686527,669467,3,1,0,2,1,0,.333,.666
686527,687064,3,1,0,0,0,0,.333,.666
686527,650633,1,0,0,1,0,0,.000,.000
686527,686613,9,3,0,1,4,0,.333,.889
686527,663903,5,2,0,0,1,0,.400,.800
686527,518876,4,1,1,1,0,1,.250,1.400
686527,677958,4,2,1,1,1,0,.500,1.750
686527,677944,2,1,0,0,0,0,.500,1.500
686527,656605,2,0,0,0,0,1,.000,.333
686527,605288,4,2,0,0,0,0,.500,1.100
686527,669302,3,2,0,0,0,0,.667,1.667
686527,656876,3,0,0,0,0,0,.000,.000
640902,663436,3,1,0,0,1,0,.333,.666
640902,678022,2,0,0,0,0,0,.000,.000
686527,608379,5,3,1,1,0,0,.600,1.800
640902,680736,1,0,0,0,0,0,.000,.000
640902,677944,2,0,0,0,1,0,.000,.000
640902,608379,2,1,0,1,0,0,.500,1.500
640902,518876,3,2,0,0,0,0,.667,1.334
640902,665795,2,1,0,0,0,0,.500,1.000
647304,687064,3,0,0,0,0,0,.000,.000
647304,680736,2,1,0,0,0,0,.500,1.000
647304,656550,5,1,0,2,1,0,.200,.400
647304,663372,6,1,1,2,0,0,.167,.834
647304,678022,3,1,0,0,0,0,.333,.666
647304,663436,6,2,0,0,0,2,.333,1.000
647304,686613,5,2,1,3,1,1,.400,1.500
647304,673540,4,0,0,0,0,1,.000,.200
647304,650633,8,2,0,1,1,0,.250,.500
647304,669467,8,2,1,1,1,3,.250,1.080
647304,543037,16,2,1,3,5,1,.125,.542
647304,666200,5,3,0,0,2,0,.600,1.200
647304,672282,13,3,0,0,3,0,.231,.462
647304,805673,2,0,0,0,1,0,.000,.000
647304,656605,8,3,1,4,0,0,.375,1.125
647304,677958,3,1,0,0,1,0,.333,.666
647304,518876,8,0,0,0,2,0,.000,.000
647304,677944,3,0,0,0,1,0,.000,.000
647304,664285,13,2,0,1,2,2,.154,.421
647304,665795,2,0,0,0,0,0,.000,.000
647304,663903,28,3,1,4,3,0,.107,.357
647304,669302,11,5,1,2,1,0,.455,1.144
677594,663372,3,1,0,3,0,0,.333,1.333
647304,656876,5,1,0,1,2,0,.200,.400
677594,663436,9,2,0,0,2,0,.222,.555
