player_id,name,team_id,l7_ab,l7_h,l7_hr,l7_rbi,l7_k,l7_bb,l7_avg,l7_ops,l14_ab,l14_h,l14_hr,l14_avg,l14_ops,sea_ab,sea_h,sea_hr,sea_avg,sea_ops,l5_hr,l10_hr,l5_h,l10_h,l10_tb,l5_tb,sea_k_pct,l14_k_pct,l15_k_pct,sea_k,sea_pa
571448,Nolan Arenado,109,25,7,1,3,4,2,0.28,0.853,50,12,1,0.24,0.643,268,65,9,0.243,0.706,1,1,5,10,16,10,0.208,0.17,0.19,61,293
805811,Bryce Eldridge,137,23,4,0,0,7,4,0.174,0.557,50,13,2,0.26,0.782,144,41,6,0.285,0.866,0,1,4,6,11,6,0.223,0.224,0.222,37,166
656976,Pavin Smith,109,25,3,0,1,2,2,0.12,0.345,43,7,1,0.163,0.521,59,9,1,0.153,0.485,0,1,1,6,10,2,0.176,0.143,0.137,12,68
606992,Eric Haase,137,19,1,0,0,10,2,0.053,0.196,37,4,1,0.108,0.411,66,12,4,0.182,0.648,0,0,0,1,1,0,0.324,0.39,0.381,23,71
669477,Casey Schmitt,137,23,4,0,1,4,0,0.174,0.348,50,18,1,0.36,0.84,300,86,16,0.287,0.806,0,1,2,11,16,2,0.199,0.18,0.185,61,307
694371,Tommy Troy,109,24,5,1,3,7,1,0.208,0.615,45,10,2,0.222,0.677,95,22,3,0.232,0.684,0,1,4,7,11,5,0.219,0.255,0.26,23,105
701852,Drew Cavanaugh,137,7,2,0,1,1,1,0.286,0.661,7,2,0,0.286,0.661,7,2,0,0.286,0.661,0,0,2,2,2,2,0.125,0.125,0.125,1,8
682674,Victor Bericoto,137,20,7,2,3,5,1,0.35,1.081,30,9,3,0.3,0.956,35,10,3,0.286,0.877,2,2,7,7,14,14,0.278,0.258,0.258,10,36
808982,Jung Hoo Lee,137,24,6,1,5,3,1,0.25,0.78,50,13,2,0.26,0.788,287,92,5,0.321,0.81,0,1,2,10,19,4,0.097,0.077,0.073,29,300
813841,Jonah Cox,137,10,1,0,1,7,0,0.1,0.2,16,3,0,0.188,0.5,25,7,1,0.28,0.8,0,0,1,2,2,1,0.56,0.688,0.579,14,25
650333,Luis Arraez,137,23,9,0,1,0,3,0.391,0.984,55,18,1,0.327,0.882,313,102,3,0.326,0.814,0,1,7,14,21,9,0.039,0.0,0.0,13,332
656305,Matt Chapman,137,24,4,0,1,10,4,0.167,0.494,50,6,1,0.12,0.428,304,72,7,0.237,0.692,0,0,3,4,5,4,0.235,0.368,0.35,80,341
671218,Heliot Ramos,137,25,6,1,3,4,3,0.24,0.761,54,14,2,0.259,0.81,172,46,5,0.267,0.747,1,2,3,12,22,6,0.262,0.172,0.161,48,183
687551,Drew Gilbert,137,7,1,0,1,0,4,0.143,0.598,27,7,0,0.259,0.777,164,38,3,0.232,0.668,0,0,1,6,7,1,0.181,0.056,0.077,33,182
656577,Alex Jackson,142,17,6,0,2,3,0,0.353,0.824,34,12,0,0.353,0.765,44,14,0,0.318,0.704,0,0,6,8,10,8,0.295,0.206,0.243,13,44
605137,Josh Bell,142,24,4,1,5,3,2,0.167,0.648,50,16,3,0.32,0.982,300,73,10,0.243,0.7,1,2,3,8,18,9,0.22,0.109,0.107,71,323
621439,Byron Buxton,142,31,7,1,3,5,0,0.226,0.613,61,17,4,0.279,0.827,302,81,25,0.268,0.891,0,2,4,10,18,6,0.25,0.206,0.194,81,324
686797,Brooks Lee,142,26,9,2,3,3,2,0.346,1.008,53,16,3,0.302,0.905,299,75,14,0.251,0.747,1,2,8,13,23,12,0.156,0.089,0.083,50,321
693459,Kyler Fedko,142,6,0,0,0,2,2,0.0,0.25,10,0,0,0.0,0.167,10,0,0,0.0,0.167,0,0,0,0,0,0,0.333,0.333,0.333,4,12
642715,Willy Adames,137,25,7,1,1,9,2,0.28,0.813,52,11,3,0.212,0.664,321,74,14,0.231,0.704,1,2,5,9,17,9,0.279,0.259,0.271,95,340
646240,Rafael Devers,137,27,7,3,7,8,0,0.259,0.889,51,15,5,0.294,1.024,325,78,14,0.24,0.747,2,4,5,9,22,12,0.298,0.232,0.25,105,352
665019,Kody Clemens,142,27,3,2,5,6,3,0.111,0.533,58,12,3,0.207,0.655,257,61,13,0.237,0.757,2,2,3,7,14,9,0.217,0.177,0.167,60,276
807712,Luke Keaschall,142,18,2,0,0,4,3,0.111,0.349,43,11,0,0.256,0.675,277,68,2,0.245,0.639,0,0,2,6,6,2,0.156,0.118,0.127,48,308
668904,Royce Lewis,142,29,8,1,2,7,0,0.276,0.724,57,13,2,0.228,0.665,187,40,8,0.214,0.668,1,2,6,11,20,11,0.278,0.262,0.262,57,205
694203,Denzer Guzman,108,26,8,1,5,7,3,0.308,0.841,53,15,3,0.283,0.847,71,19,3,0.268,0.762,0,3,6,10,20,7,0.208,0.237,0.222,16,77
663616,Trevor Larnach,142,25,9,0,4,3,1,0.36,0.945,52,20,2,0.385,1.014,220,63,5,0.286,0.801,0,1,7,15,23,10,0.181,0.109,0.102,45,249
668885,Austin Martin,142,14,5,0,0,0,1,0.357,0.757,28,6,0,0.214,0.54,217,53,2,0.244,0.662,0,0,4,6,7,4,0.181,0.194,0.2,45,248
668952,Ryan Kreidler,142,23,8,1,3,1,0,0.348,0.826,36,14,2,0.389,1.075,97,28,5,0.289,0.87,1,2,5,12,20,8,0.168,0.077,0.073,18,107
666176,Jo Adell,108,28,6,1,4,7,0,0.214,0.643,57,14,1,0.246,0.692,334,83,11,0.249,0.668,1,1,5,9,17,11,0.238,0.22,0.203,82,344
656484,Tristan Gray,142,15,4,0,0,5,1,0.267,0.645,35,7,0,0.2,0.472,148,36,4,0.243,0.645,0,0,4,5,6,5,0.312,0.297,0.341,49,157
605170,Victor Caratini,142,26,8,2,6,6,4,0.308,0.977,47,15,4,0.319,1.035,195,47,7,0.241,0.703,2,4,5,13,26,11,0.201,0.145,0.143,44,219
672724,Oswald Peraza,108,23,5,0,1,8,0,0.217,0.478,48,10,0,0.208,0.479,239,61,7,0.255,0.688,0,0,2,8,10,2,0.282,0.396,0.358,70,248
624585,Jorge Soler,108,21,5,2,4,10,6,0.238,0.931,51,13,2,0.255,0.776,233,52,11,0.223,0.72,1,2,4,10,19,7,0.323,0.328,0.339,84,260
642350,Jose Siri,108,16,3,0,1,4,1,0.188,0.423,32,6,2,0.188,0.632,72,19,4,0.264,0.793,0,1,1,4,7,1,0.269,0.257,0.231,21,78
622268,Donovan Walton,108,23,7,1,5,6,0,0.304,0.826,39,16,3,0.41,1.154,85,27,3,0.318,0.847,0,2,3,11,20,4,0.193,0.179,0.19,17,88
694384,Nolan Schanuel,108,27,8,1,3,3,4,0.296,0.831,52,15,2,0.288,0.835,252,66,6,0.262,0.713,0,2,4,12,20,5,0.153,0.098,0.097,42,275
681351,Logan O'Hoppe,108,22,3,0,2,8,0,0.136,0.272,45,13,1,0.289,0.726,182,42,4,0.231,0.627,0,1,2,9,13,2,0.255,0.283,0.271,50,196
687093,Vaughn Grissom,108,15,3,0,3,4,1,0.2,0.45,41,10,1,0.244,0.677,156,37,4,0.237,0.686,0,1,3,6,9,3,0.122,0.156,0.16,21,172
623168,Tyler Heineman,108,19,5,0,2,3,1,0.263,0.668,34,6,1,0.176,0.546,87,15,1,0.172,0.43,0,1,3,6,11,4,0.222,0.167,0.158,20,90
666139,Josh Lowe,108,23,9,2,6,6,0,0.391,1.13,39,14,2,0.359,0.965,140,30,6,0.214,0.618,1,2,7,11,20,12,0.288,0.25,0.25,42,146
810938,Ben Williamson,139,21,2,1,1,5,1,0.095,0.422,47,7,2,0.149,0.519,174,41,2,0.236,0.632,1,2,2,5,12,6,0.199,0.18,0.189,38,191
685133,Wade Meckler,108,20,6,0,2,5,3,0.3,0.741,41,11,0,0.268,0.679,102,29,2,0.284,0.777,0,0,5,8,10,6,0.226,0.255,0.265,26,115
687263,Zach Neto,108,25,6,1,1,9,1,0.24,0.709,54,13,5,0.241,0.904,327,74,18,0.226,0.767,1,3,3,9,21,7,0.33,0.362,0.365,121,367
656775,Cedric Mullins,139,25,7,2,4,9,1,0.28,0.828,48,14,3,0.292,0.812,241,50,8,0.207,0.609,2,2,6,9,15,12,0.205,0.275,0.273,54,264
691406,Junior Caminero,139,26,11,7,15,4,4,0.423,1.731,52,20,8,0.385,1.313,305,89,22,0.292,0.934,6,7,8,16,37,26,0.176,0.207,0.242,62,352
668723,Ryan Vilade,139,23,4,2,4,8,1,0.174,0.686,47,13,3,0.277,0.838,123,34,5,0.276,0.804,1,2,2,8,16,6,0.207,0.286,0.288,28,135
666018,Jonathan Aranda,139,25,10,1,6,4,4,0.4,1.123,52,19,2,0.365,0.989,290,83,13,0.286,0.852,1,2,7,13,22,13,0.231,0.155,0.145,78,337
676356,Jonny DeLuca,139,22,5,2,4,4,1,0.227,0.852,48,11,2,0.229,0.683,141,37,4,0.262,0.733,1,2,4,7,15,9,0.204,0.224,0.224,30,147
802415,Chandler Simpson,139,25,8,0,1,2,3,0.32,0.833,49,13,0,0.265,0.635,288,77,0,0.267,0.627,0,0,4,11,14,6,0.105,0.058,0.054,32,305
